timestamp_sec,ecg_mv,emg_uv,eog_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,-0.0165,40.28,7.55,98.0,0.071,0.149,0.967,0.0193,W
0.01,-0.0381,-84.96,2.0,97.9,0.088,0.152,0.977,0.0075,W
0.02,0.0179,22.63,-5.05,97.8,0.076,0.149,0.987,0.0006,W
0.03,0.0141,71.53,1.69,97.7,0.082,0.154,0.985,0.0005,W
0.04,-0.0178,-87.31,-0.65,98.4,0.09,0.148,0.978,0.0068,W
0.05,-0.0179,0.25,5.23,98.0,0.077,0.148,0.984,0.0017,W
0.06,0.018,-33.34,4.98,98.1,0.076,0.148,0.991,0.005,W
0.07,0.0086,-40.78,-2.75,98.0,0.082,0.151,0.973,0.0124,W
0.08,0.0275,-28.62,-3.78,97.9,0.079,0.155,0.979,0.0059,W
0.09,0.0383,20.09,-3.4,98.2,0.079,0.138,0.985,0.002,W
0.1,0.0245,33.16,1.6,98.1,0.083,0.152,0.973,0.012,W
0.11,-0.0083,8.86,0.09,98.1,0.079,0.155,0.98,0.0042,W
0.12,0.0416,-15.88,2.72,98.0,0.09,0.144,0.978,0.0078,W
0.13,0.067,21.57,1.52,98.0,0.089,0.146,0.978,0.0071,W
0.14,0.0955,39.27,1.81,98.1,0.074,0.148,0.982,0.0038,W
0.15,0.1333,35.83,4.93,97.9,0.085,0.146,0.993,0.0076,W
0.16,0.1774,-16.37,6.1,97.9,0.074,0.146,0.978,0.0081,W
0.17,0.1565,-93.66,0.9,97.9,0.075,0.157,0.978,0.0069,W
0.18,0.1605,-57.7,6.21,98.4,0.073,0.138,0.982,0.0053,W
0.19,0.1015,-5.77,-3.42,97.8,0.084,0.153,0.986,0.0011,W
0.2,0.1162,-24.69,3.5,98.3,0.083,0.149,0.977,0.0086,W
0.21,0.0383,-16.79,6.46,98.1,0.086,0.152,0.985,0.0007,W
0.22,0.0038,32.35,4.26,97.9,0.076,0.148,0.98,0.006,W
0.23,-0.0112,28.68,1.34,97.9,0.078,0.154,0.979,0.006,W
0.24,0.014,-16.32,0.25,98.2,0.079,0.148,0.976,0.0098,W
0.25,0.0061,76.66,3.94,98.3,0.08,0.151,0.977,0.0085,W
0.26,0.0303,-12.52,-0.78,98.1,0.082,0.152,0.982,0.0032,W
0.27,-0.0519,-33.17,-1.38,97.8,0.087,0.156,0.98,0.0041,W
0.28,-0.0575,19.04,9.35,98.0,0.084,0.151,0.979,0.0058,W
0.29,-0.0241,29.2,7.34,97.8,0.08,0.157,0.971,0.0127,W
0.3,0.237,27.44,0.04,98.2,0.08,0.15,0.986,0.0006,W
0.31,0.6931,-43.11,3.17,97.8,0.074,0.157,0.98,0.0051,W
0.32,1.1639,-4.25,-1.56,98.1,0.081,0.153,0.982,0.0029,W
0.33,1.2236,-22.06,-9.71,98.0,0.077,0.157,0.973,0.0115,W
0.34,0.8479,-69.33,-3.78,97.9,0.083,0.147,0.979,0.0067,W
0.35,0.3269,52.21,0.6,97.8,0.081,0.149,0.983,0.0022,W
0.36,-0.0886,-20.89,-1.18,98.2,0.078,0.149,0.98,0.0053,W
0.37,-0.2212,27.49,-0.63,97.9,0.077,0.145,0.986,0.0002,W
0.38,-0.2764,20.99,4.43,98.1,0.076,0.153,0.974,0.0115,W
0.39,-0.1476,37.02,-2.08,98.3,0.075,0.146,0.978,0.0086,W
0.4,-0.0458,-33.65,-6.05,98.1,0.089,0.141,0.988,0.0023,W
0.41,0.0347,-19.6,2.95,97.9,0.077,0.157,0.982,0.0024,W
0.42,0.079,51.84,-1.44,98.0,0.079,0.148,0.979,0.0068,W
0.43,0.0784,22.02,0.98,97.9,0.081,0.153,0.984,0.0012,W
0.44,0.0535,42.72,-0.94,98.0,0.082,0.151,0.977,0.0082,W
0.45,0.0756,73.63,4.89,98.0,0.074,0.144,0.977,0.0098,W
0.46,0.1313,-3.15,-6.45,98.1,0.088,0.144,0.975,0.0108,W
0.47,0.1276,-47.36,-6.88,97.8,0.079,0.148,0.981,0.0045,W
0.48,0.112,6.53,8.51,98.2,0.073,0.137,0.979,0.0085,W
0.49,0.2165,-35.46,9.5,98.0,0.076,0.148,0.985,0.0012,W
0.5,0.2318,-51.04,-4.31,97.8,0.081,0.153,0.979,0.0059,W
0.51,0.265,-30.43,-1.67,98.0,0.078,0.142,0.982,0.0044,W
0.52,0.3409,10.08,12.19,97.8,0.078,0.14,0.983,0.004,W
0.53,0.3293,79.22,3.06,98.0,0.084,0.159,0.987,0.0031,W
0.54,0.3846,25.69,1.25,98.6,0.085,0.148,0.983,0.002,W
0.55,0.3732,-4.15,0.66,98.1,0.078,0.149,0.987,0.0015,W
0.56,0.3828,-3.81,-3.66,97.9,0.082,0.146,0.98,0.006,W
0.57,0.3399,-29.63,3.81,97.9,0.079,0.151,0.976,0.0095,W
0.58,0.3072,-29.45,-2.26,98.0,0.071,0.153,0.974,0.0113,W
0.59,0.25,38.41,-0.06,98.1,0.084,0.156,0.987,0.0029,W
