timestamp_sec,ecg_mv,emg_uv,eog_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,-0.0375,-45.94,-9.21,97.6,0.086,0.141,0.983,0.0033,W
0.01,-0.0022,62.59,3.9,97.9,0.08,0.15,0.98,0.0052,W
0.02,-0.0025,43.76,-6.21,98.1,0.085,0.156,0.985,0.0005,W
0.03,0.0247,76.47,5.39,98.1,0.076,0.146,0.983,0.0038,W
0.04,-0.0012,86.03,0.77,97.8,0.087,0.159,0.978,0.0058,W
0.05,-0.0152,21.85,6.03,98.2,0.08,0.157,0.988,0.0034,W
0.06,-0.0264,22.49,-6.12,98.0,0.077,0.142,0.979,0.008,W
0.07,0.0048,-43.31,7.64,97.7,0.08,0.154,0.981,0.0036,W
0.08,0.0217,20.3,1.67,97.7,0.084,0.159,0.975,0.0091,W
0.09,0.0269,-61.56,-4.97,98.1,0.082,0.153,0.978,0.0068,W
0.1,-0.0077,-63.59,-1.7,98.0,0.089,0.147,0.985,0.0003,W
0.11,-0.0024,-29.11,-5.89,98.3,0.09,0.157,0.99,0.006,W
0.12,0.0336,-19.85,3.45,98.0,0.083,0.157,0.98,0.0042,W
0.13,0.0469,-14.52,4.37,97.8,0.083,0.152,0.983,0.002,W
0.14,0.0144,18.09,6.02,97.9,0.084,0.144,0.985,0.0009,W
0.15,-0.0011,40.49,-0.95,98.1,0.078,0.156,0.975,0.0093,W
0.16,0.0099,-16.75,-5.89,98.0,0.084,0.16,0.979,0.0044,W
0.17,0.0423,11.3,8.59,98.1,0.08,0.151,0.975,0.0098,W
0.18,0.0187,24.39,4.43,98.0,0.08,0.147,0.989,0.0034,W
0.19,0.0134,36.65,3.45,97.8,0.079,0.15,0.977,0.008,W
0.2,0.0212,24.46,-0.09,98.1,0.082,0.155,0.974,0.0106,W
0.21,0.0279,-20.53,1.62,98.2,0.077,0.155,0.988,0.003,W
0.22,0.0079,64.62,-0.38,98.3,0.081,0.158,0.979,0.0054,W
0.23,0.0105,6.61,0.08,98.1,0.078,0.154,0.983,0.0022,W
0.24,0.0349,20.89,-1.01,98.1,0.077,0.151,0.975,0.0108,W
0.25,0.0067,-61.75,4.24,97.9,0.086,0.156,0.993,0.0088,W
0.26,0.0653,24.6,-2.42,98.1,0.08,0.154,0.986,0.001,W
0.27,-0.0063,-25.97,0.26,98.2,0.075,0.165,0.978,0.0054,W
0.28,0.0008,20.71,1.57,97.9,0.086,0.156,0.983,0.0008,W
0.29,0.0533,-94.99,-0.28,98.2,0.085,0.15,0.978,0.0066,W
0.3,0.0415,43.23,3.07,98.1,0.078,0.16,0.967,0.0171,W
