timestamp_sec,ecg_mv,emg_uv,eog_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,0.007,34.96,-5.34,98.0,0.077,0.153,0.984,0.001,W
0.01,0.0223,-26.76,-1.75,98.1,0.077,0.145,0.981,0.0053,W
0.02,0.0176,-21.45,-8.56,98.1,0.078,0.149,0.979,0.0065,W
0.03,0.0266,90.38,3.85,97.9,0.078,0.155,0.963,0.0216,W
0.04,0.0251,-16.35,2.19,97.8,0.071,0.152,0.993,0.0069,W
0.05,0.0151,19.97,7.94,97.9,0.078,0.137,0.975,0.0128,W
0.06,0.0017,28.13,8.4,98.1,0.071,0.158,0.985,0.0,W
0.07,-0.0093,0.98,-2.04,97.9,0.077,0.148,0.986,0.0002,W
0.08,0.0217,-32.15,-4.59,98.0,0.078,0.154,0.982,0.0029,W
0.09,-0.0151,-12.21,-5.22,98.2,0.079,0.15,0.981,0.0044,W
0.1,-0.0124,20.55,-2.93,98.2,0.083,0.158,0.98,0.0037,W
0.11,0.0224,1.21,-1.15,98.1,0.08,0.145,0.992,0.0053,W
0.12,0.0171,-11.72,2.63,98.1,0.081,0.149,0.978,0.007,W
0.13,0.0387,-12.94,-3.63,97.8,0.077,0.149,0.977,0.0088,W
0.14,0.0096,22.64,-2.51,97.7,0.076,0.155,0.981,0.0037,W
0.15,0.0042,41.34,-3.7,98.0,0.08,0.159,0.975,0.0085,W
0.16,-0.0084,69.9,3.31,98.0,0.087,0.161,0.981,0.002,W
0.17,0.0122,-14.64,-7.83,98.2,0.079,0.145,0.981,0.005,W
0.18,-0.0219,84.49,-9.49,98.0,0.079,0.146,0.977,0.0089,W
0.19,0.0397,76.66,-2.53,98.0,0.078,0.146,0.981,0.0047,W
0.2,-0.0106,44.8,1.44,98.0,0.081,0.15,0.984,0.0013,W
0.21,-0.0231,16.98,-4.7,97.9,0.074,0.143,0.984,0.0027,W
0.22,0.0045,7.82,-2.85,97.9,0.083,0.152,0.977,0.0081,W
0.23,0.02,-93.46,6.41,98.0,0.087,0.155,0.978,0.0064,W
0.24,0.0118,16.03,-1.13,98.1,0.066,0.14,0.981,0.0064,W
0.25,0.0138,-5.17,-3.25,98.3,0.076,0.147,0.983,0.0035,W
0.26,0.0342,13.17,-0.09,98.1,0.075,0.154,0.972,0.0131,W
0.27,0.0106,-70.1,1.39,97.9,0.084,0.155,0.971,0.0134,W
0.28,0.0212,51.88,-7.65,98.0,0.074,0.158,0.978,0.0066,W
0.29,0.0209,-10.33,-0.49,98.2,0.087,0.15,0.986,0.0014,W
0.3,0.0314,6.82,-3.24,98.1,0.077,0.149,0.983,0.0023,W
0.31,0.0445,41.43,2.51,98.0,0.078,0.154,0.973,0.0114,W
0.32,0.0115,92.91,-0.38,97.9,0.077,0.157,0.981,0.0036,W
0.33,0.0852,-14.81,-3.74,97.9,0.081,0.148,0.98,0.0055,W
0.34,0.0995,58.59,1.84,98.0,0.082,0.151,0.976,0.0093,W
0.35,0.0982,-38.65,-1.89,98.2,0.08,0.156,0.98,0.0047,W
0.36,0.1716,-3.36,4.67,98.3,0.083,0.157,0.984,0.0002,W
0.37,0.1462,73.0,0.6,97.9,0.076,0.153,0.974,0.0115,W
0.38,0.2283,37.39,-6.33,98.0,0.079,0.146,0.984,0.0022,W
0.39,0.1513,50.07,-2.61,98.2,0.079,0.145,0.976,0.0103,W
0.4,0.1183,-57.67,-1.57,98.2,0.082,0.149,0.989,0.0037,W
0.41,0.1173,-6.79,7.31,98.1,0.081,0.155,0.974,0.0102,W
0.42,0.0868,19.43,-2.54,97.9,0.08,0.148,0.976,0.0094,W
0.43,0.0218,-9.35,-5.25,98.0,0.079,0.154,0.978,0.0072,W
0.44,0.0439,-63.42,-5.97,98.3,0.078,0.145,0.982,0.004,W
0.45,0.056,7.55,-1.9,98.1,0.084,0.154,0.981,0.0033,W
0.46,-0.0102,29.83,-1.31,98.1,0.077,0.149,0.982,0.004,W
0.47,0.0543,85.52,2.11,98.0,0.076,0.145,0.982,0.0043,W
0.48,-0.0349,66.16,4.2,98.0,0.079,0.152,0.976,0.0096,W
0.49,-0.0239,117.97,-7.49,97.8,0.074,0.162,0.982,0.0017,W
0.5,-0.0473,-8.77,0.25,97.9,0.082,0.148,0.99,0.0045,W
0.51,0.1958,-28.67,-5.15,98.2,0.074,0.146,0.979,0.0071,W
0.52,0.6734,24.34,8.41,98.0,0.081,0.162,0.977,0.0063,W
0.53,1.1269,3.88,1.85,97.8,0.079,0.15,0.97,0.0151,W
0.54,1.2609,9.6,1.69,98.0,0.073,0.157,0.98,0.005,W
0.55,0.9351,-58.94,-1.1,98.3,0.075,0.158,0.978,0.0068,W
0.56,0.3656,0.18,0.6,98.1,0.072,0.149,0.984,0.002,W
0.57,0.0337,-69.55,-3.68,98.1,0.087,0.151,0.976,0.0091,W
0.58,-0.1772,23.24,-3.13,98.1,0.091,0.148,0.979,0.0056,W
0.59,-0.2531,-28.49,5.77,97.9,0.079,0.138,0.982,0.0053,W
0.6,-0.1937,-35.15,-11.61,97.9,0.08,0.15,0.974,0.0112,W
0.61,-0.046,-40.66,-2.22,98.1,0.074,0.148,0.978,0.0084,W
0.62,0.0254,-39.16,-3.0,98.1,0.08,0.153,0.97,0.015,W
0.63,0.0526,68.05,5.96,98.0,0.085,0.153,0.981,0.0036,W
0.64,0.0661,-64.2,-1.12,98.2,0.077,0.145,0.974,0.012,W
0.65,0.0554,72.82,8.53,98.0,0.078,0.155,0.98,0.0045,W
0.66,0.0577,-39.33,-6.54,98.1,0.073,0.148,0.976,0.0097,W
0.67,0.1126,27.49,-7.49,98.1,0.076,0.158,0.981,0.0036,W
0.68,0.1053,1.91,0.98,98.0,0.08,0.144,0.978,0.0087,W
0.69,0.173,23.27,-1.9,98.1,0.087,0.152,0.978,0.0061,W
0.7,0.1949,-16.05,9.87,97.9,0.078,0.147,0.978,0.0077,W
0.71,0.2708,31.93,2.69,98.2,0.08,0.151,0.989,0.0033,W
0.72,0.2535,-65.07,1.47,98.1,0.082,0.15,0.98,0.0049,W
0.73,0.3083,65.06,-2.56,98.2,0.089,0.157,0.98,0.0039,W
0.74,0.3446,-16.65,-2.88,98.2,0.073,0.158,0.978,0.007,W
0.75,0.3755,48.82,2.53,98.1,0.079,0.149,0.98,0.006,W
0.76,0.4177,74.18,5.76,98.0,0.083,0.153,0.985,0.0002,W
0.77,0.3627,57.66,3.35,98.1,0.078,0.142,0.982,0.0044,W
0.78,0.3745,-49.27,-8.06,98.1,0.076,0.148,0.98,0.0059,W
0.79,0.3193,-37.9,2.74,97.9,0.076,0.141,0.979,0.0084,W
0.8,0.289,45.25,-10.81,98.4,0.077,0.152,0.978,0.0077,W
0.81,0.2424,21.84,-5.24,98.2,0.079,0.145,0.989,0.0025,W
0.82,0.2063,-63.03,3.98,98.1,0.072,0.146,0.977,0.0092,W
0.83,0.1731,28.82,7.52,98.1,0.09,0.153,0.979,0.0052,W
0.84,0.0856,31.59,-7.0,98.2,0.077,0.148,0.986,0.0003,W
0.85,0.0799,-3.73,5.45,98.1,0.072,0.16,0.978,0.0067,W
0.86,0.0648,22.95,-9.35,98.3,0.077,0.147,0.982,0.0039,W
0.87,0.0837,3.63,-1.21,97.8,0.071,0.15,0.977,0.0085,W
0.88,0.036,134.13,-2.56,97.8,0.081,0.151,0.981,0.0038,W
0.89,0.0955,95.95,-1.94,98.2,0.079,0.152,0.975,0.0099,W
0.9,0.0678,8.45,2.01,98.3,0.081,0.146,0.989,0.0031,W
0.91,0.0506,-65.93,-3.33,98.1,0.083,0.156,0.978,0.0058,W
0.92,0.0908,-28.85,-6.41,98.2,0.073,0.151,0.971,0.0144,W
0.93,0.0313,-14.39,-4.94,98.0,0.09,0.156,0.98,0.0039,W
0.94,0.0543,-58.72,6.43,98.1,0.084,0.153,0.979,0.006,W
0.95,0.0234,40.01,10.47,98.1,0.083,0.155,0.982,0.0028,W
0.96,0.0563,56.5,-3.83,98.1,0.083,0.154,0.978,0.0063,W
0.97,0.076,33.26,3.7,98.1,0.083,0.15,0.97,0.0151,W
0.98,0.0476,-23.21,-3.22,97.9,0.08,0.151,0.978,0.0069,W
0.99,0.0469,40.35,1.26,97.9,0.083,0.149,0.993,0.0077,W
1.0,0.0437,-8.1,3.37,98.2,0.086,0.149,0.981,0.0037,W
1.01,0.0142,7.92,6.87,98.2,0.074,0.155,0.977,0.008,W
1.02,0.0571,76.61,-5.62,97.9,0.083,0.143,0.984,0.0026,W
1.03,0.0585,-1.07,-6.15,98.3,0.082,0.157,0.971,0.0127,W
1.04,0.0646,-49.73,-15.39,98.0,0.088,0.148,0.982,0.0027,W
1.05,0.0625,-4.84,1.94,98.3,0.08,0.15,0.984,0.0018,W
1.06,0.08,23.39,-1.13,98.2,0.078,0.147,0.984,0.0019,W
1.07,0.1136,-36.02,0.83,98.1,0.084,0.155,0.982,0.0018,W
1.08,0.1545,1.71,-6.96,97.9,0.084,0.148,0.972,0.0131,W
1.09,0.2109,-1.15,-0.35,98.1,0.075,0.15,0.977,0.0088,W
1.1,0.2037,-70.88,-3.87,97.9,0.071,0.149,0.987,0.0002,W
1.11,0.1405,75.42,0.7,97.9,0.09,0.148,0.976,0.0084,W
1.12,0.1504,-12.01,-1.91,98.5,0.074,0.16,0.979,0.0057,W
1.13,0.1485,72.16,3.87,98.2,0.082,0.149,0.978,0.0072,W
1.14,0.0908,-81.15,7.86,98.0,0.078,0.148,0.982,0.0038,W
1.15,0.0801,-61.38,-5.25,98.3,0.083,0.152,0.979,0.006,W
1.16,0.0614,19.49,6.95,97.8,0.077,0.15,0.975,0.0105,W
1.17,0.0442,13.69,0.54,98.0,0.08,0.155,0.975,0.0099,W
1.18,0.0347,6.77,-9.21,98.1,0.079,0.152,0.977,0.0078,W
1.19,0.0569,-63.9,-9.34,98.1,0.083,0.145,0.978,0.0076,W
1.2,0.0388,19.23,5.21,97.8,0.081,0.148,0.98,0.0057,W
1.21,-0.0674,28.01,4.89,98.3,0.081,0.16,0.971,0.0127,W
1.22,-0.0922,-4.74,8.42,98.3,0.081,0.157,0.976,0.0078,W
1.23,0.1824,-5.12,-3.2,98.1,0.088,0.154,0.975,0.0095,W
1.24,0.5904,2.62,-5.27,98.3,0.079,0.158,0.987,0.0025,W
1.25,1.0852,65.32,5.15,98.1,0.08,0.145,0.976,0.0097,W
1.26,1.2506,-38.46,-1.68,97.9,0.086,0.148,0.979,0.0063,W
1.27,0.9786,81.31,-2.49,98.2,0.077,0.145,0.974,0.0124,W
1.28,0.4673,14.67,-7.44,98.1,0.083,0.148,0.978,0.0079,W
1.29,0.0902,5.25,-5.92,98.2,0.083,0.151,0.98,0.0045,W
1.3,-0.1828,-71.75,1.02,97.9,0.084,0.149,0.982,0.0029,W
1.31,-0.2644,13.45,-2.75,98.1,0.079,0.156,0.98,0.0048,W
1.32,-0.1634,-28.24,0.72,98.0,0.089,0.151,0.983,0.0014,W
1.33,-0.0336,-24.09,-1.95,97.8,0.071,0.152,0.985,0.0004,W
1.34,0.0006,6.9,-3.19,98.0,0.083,0.158,0.98,0.004,W
1.35,0.0314,10.65,-1.64,98.2,0.088,0.146,0.976,0.0096,W
1.36,0.0558,42.39,2.52,98.1,0.085,0.145,0.974,0.0116,W
1.37,0.0854,-52.08,2.53,98.2,0.086,0.161,0.986,0.0025,W
1.38,0.0638,47.05,-9.09,98.1,0.089,0.15,0.982,0.0031,W
1.39,0.1024,11.99,0.15,98.1,0.08,0.146,0.981,0.0047,W
1.4,0.0874,-34.08,3.82,97.9,0.085,0.148,0.981,0.0042,W
1.41,0.1731,-13.9,-7.96,98.5,0.076,0.152,0.986,0.0007,W
1.42,0.1734,-21.35,2.65,98.6,0.075,0.152,0.981,0.0046,W
1.43,0.2048,-4.34,-1.83,98.1,0.072,0.159,0.982,0.003,W
1.44,0.2205,43.17,-1.96,98.2,0.09,0.145,0.975,0.0106,W
1.45,0.3077,-55.62,9.68,98.1,0.077,0.149,0.982,0.0041,W
1.46,0.3328,-54.94,-5.84,98.4,0.083,0.164,0.977,0.0056,W
1.47,0.3597,22.47,2.19,98.1,0.082,0.136,0.987,0.0006,W
1.48,0.3637,80.93,1.21,98.1,0.079,0.143,0.98,0.0068,W
1.49,0.3279,30.71,9.41,98.2,0.078,0.154,0.98,0.0048,W
1.5,0.3302,10.97,7.37,98.1,0.071,0.156,0.974,0.0108,W
1.51,0.2847,-130.64,-0.88,98.2,0.083,0.153,0.984,0.0007,W
1.52,0.2337,3.58,2.01,97.9,0.076,0.156,0.987,0.0024,W
1.53,0.2076,-79.86,0.78,98.1,0.076,0.142,0.973,0.0136,W
1.54,0.1876,-32.98,6.26,97.7,0.07,0.15,0.978,0.0084,W
1.55,0.113,38.93,-6.04,98.1,0.085,0.152,0.983,0.0019,W
1.56,0.1075,37.91,-2.0,98.2,0.081,0.141,0.981,0.0052,W
1.57,0.0921,-25.91,7.63,98.2,0.075,0.144,0.982,0.0051,W
1.58,0.0608,-6.62,-9.71,98.0,0.08,0.144,0.978,0.0086,W
1.59,0.0387,-36.06,-2.05,98.0,0.084,0.15,0.988,0.0024,W
1.6,0.003,11.41,-1.88,98.3,0.08,0.15,0.975,0.0099,W
1.61,-0.0008,103.65,-3.44,98.1,0.081,0.151,0.984,0.0008,W
1.62,0.0087,122.07,10.63,98.3,0.073,0.146,0.988,0.0017,W
1.63,0.0127,-76.91,-6.69,98.0,0.069,0.146,0.98,0.0068,W
1.64,0.0253,-73.67,4.56,98.2,0.086,0.149,0.979,0.0058,W
1.65,0.0292,91.19,-0.67,98.3,0.085,0.152,0.987,0.0023,W
1.66,0.0133,51.61,10.78,97.9,0.073,0.155,0.975,0.0102,W
1.67,-0.0142,31.99,-0.34,98.1,0.085,0.158,0.974,0.0101,W
1.68,-0.0085,-32.42,-3.74,98.2,0.078,0.158,0.976,0.008,W
1.69,-0.017,30.99,2.66,98.1,0.084,0.154,0.985,0.0008,W
1.7,0.0065,28.42,-2.76,98.3,0.081,0.152,0.981,0.0038,W
1.71,0.019,6.79,0.8,97.8,0.069,0.144,0.979,0.0077,W
1.72,-0.0135,3.51,2.79,98.0,0.089,0.151,0.981,0.0035,W
1.73,0.0079,23.03,-7.86,98.1,0.086,0.147,0.976,0.009,W
1.74,0.0043,49.28,-1.66,97.9,0.082,0.16,0.977,0.0067,W
1.75,0.0016,6.72,-3.82,98.4,0.07,0.142,0.979,0.0078,W
1.76,0.0046,-6.82,-2.56,98.2,0.076,0.152,0.986,0.0002,W
1.77,0.0435,-13.3,1.34,98.1,0.086,0.153,0.987,0.003,W
1.78,0.0522,-43.98,-8.72,98.3,0.075,0.144,0.981,0.0054,W
1.79,0.11,-48.25,3.9,98.2,0.071,0.136,0.985,0.0025,W
1.8,0.1385,-11.99,-2.1,98.0,0.082,0.154,0.975,0.0092,W
1.81,0.1291,27.06,1.79,98.1,0.078,0.146,0.985,0.0014,W
1.82,0.1791,-92.66,2.48,97.9,0.077,0.145,0.976,0.0101,W
1.83,0.1133,2.21,15.21,98.4,0.076,0.149,0.984,0.0022,W
1.84,0.0892,30.14,-8.46,98.4,0.085,0.144,0.977,0.009,W
1.85,0.0756,20.7,0.92,98.3,0.086,0.151,0.976,0.0082,W
1.86,0.0308,-88.06,3.17,98.2,0.079,0.144,0.982,0.004,W
1.87,0.0016,20.13,-1.13,98.2,0.077,0.147,0.976,0.0095,W
1.88,-0.0273,-68.86,-1.51,98.3,0.081,0.15,0.977,0.0079,W
1.89,0.0058,7.44,-2.41,98.1,0.079,0.147,0.979,0.0072,W
1.9,0.0035,-9.91,1.68,98.2,0.083,0.148,0.991,0.0053,W
1.91,-0.0269,29.22,9.99,98.4,0.076,0.145,0.973,0.0129,W
1.92,-0.1026,27.58,4.3,98.4,0.071,0.153,0.976,0.0099,W
1.93,-0.1304,-37.6,4.81,98.3,0.073,0.148,0.975,0.0112,W
1.94,-0.0405,36.45,0.27,98.5,0.078,0.148,0.98,0.0063,W
1.95,0.3145,-20.72,7.35,98.1,0.081,0.149,0.978,0.0074,W
1.96,0.7832,-52.62,-7.87,98.0,0.077,0.161,0.974,0.0096,W
1.97,1.1771,55.53,-2.4,98.0,0.076,0.153,0.974,0.011,W
1.98,1.1186,1.2,1.98,98.0,0.091,0.152,0.979,0.0051,W
1.99,0.6164,-45.15,-1.68,98.0,0.079,0.151,0.974,0.0114,W
2.0,0.1541,30.09,13.5,98.1,0.074,0.155,0.987,0.0016,W
2.01,-0.155,57.42,8.33,97.8,0.079,0.146,0.985,0.0012,W
2.02,-0.3263,53.46,-8.4,98.0,0.083,0.147,0.984,0.0014,W
2.03,-0.3256,20.24,0.66,98.2,0.085,0.143,0.989,0.003,W
2.04,-0.2001,71.32,-3.67,98.0,0.079,0.149,0.976,0.0096,W
2.05,-0.1138,25.7,0.16,98.3,0.081,0.143,0.978,0.0083,W
2.06,-0.0331,14.4,5.7,98.2,0.089,0.156,0.975,0.0087,W
2.07,-0.054,109.76,-2.84,98.3,0.087,0.145,0.971,0.0139,W
2.08,0.0227,-15.68,1.82,98.3,0.077,0.153,0.974,0.0111,W
2.09,-0.0088,-26.02,10.44,98.2,0.073,0.139,0.982,0.0058,W
2.1,0.0559,23.85,7.84,98.2,0.083,0.153,0.978,0.0063,W
2.11,0.0186,7.17,-3.85,98.1,0.071,0.149,0.984,0.0019,W
2.12,0.0298,-41.3,-8.2,98.0,0.075,0.155,0.983,0.0022,W
2.13,0.0932,-55.36,-2.96,98.3,0.082,0.147,0.981,0.0046,W
2.14,0.1542,29.74,10.29,98.0,0.083,0.156,0.979,0.0055,W
2.15,0.1692,-14.01,3.91,98.2,0.066,0.145,0.974,0.0131,W
2.16,0.2045,-40.63,2.14,98.2,0.076,0.153,0.979,0.0065,W
2.17,0.2635,19.8,-3.08,98.2,0.081,0.151,0.985,0.0001,W
2.18,0.3096,-1.12,1.12,98.4,0.083,0.156,0.983,0.0018,W
2.19,0.3004,-34.11,7.62,98.0,0.084,0.144,0.978,0.0076,W
2.2,0.3063,-2.39,0.83,98.1,0.074,0.152,0.982,0.0034,W
2.21,0.2765,53.58,-2.43,97.9,0.079,0.149,0.977,0.0085,W
2.22,0.2529,-14.21,-2.28,98.3,0.081,0.149,0.981,0.0042,W
2.23,0.2242,35.27,2.36,98.4,0.084,0.149,0.982,0.0036,W
2.24,0.1511,28.75,-3.99,98.2,0.076,0.147,0.97,0.0156,W
2.25,0.1091,-35.6,-3.14,98.1,0.077,0.145,0.975,0.0113,W
2.26,0.071,101.44,-11.86,98.2,0.087,0.149,0.98,0.0052,W
2.27,0.0643,41.23,-2.82,98.1,0.078,0.149,0.98,0.0059,W
2.28,-0.0204,-30.17,-5.17,98.1,0.073,0.16,0.979,0.0048,W
2.29,-0.0105,42.86,3.96,98.1,0.084,0.153,0.98,0.0044,W
2.3,-0.0576,10.29,-3.21,98.3,0.083,0.147,0.991,0.0057,W
2.31,-0.0212,-39.01,-3.29,98.1,0.082,0.148,0.977,0.0088,W
2.32,-0.0277,-22.93,-2.67,98.2,0.077,0.153,0.985,0.0004,W
2.33,-0.0474,49.21,-1.23,98.1,0.074,0.15,0.986,0.0003,W
2.34,-0.0425,39.85,8.04,98.2,0.073,0.147,0.971,0.0152,W
2.35,-0.0503,21.73,0.11,98.1,0.08,0.143,0.974,0.0125,W
2.36,-0.0434,11.72,4.52,98.3,0.08,0.14,0.984,0.003,W
2.37,-0.0326,-11.21,-9.22,98.1,0.079,0.15,0.981,0.0044,W
2.38,-0.0726,17.17,1.37,98.4,0.081,0.155,0.98,0.0048,W
2.39,-0.046,42.72,3.04,98.1,0.081,0.16,0.977,0.0068,W
2.4,-0.0336,4.83,-2.67,98.3,0.079,0.148,0.979,0.0064,W
2.41,-0.06,13.71,6.68,98.1,0.093,0.151,0.985,0.0008,W
2.42,-0.0331,47.48,-4.12,98.1,0.086,0.147,0.977,0.0081,W
2.43,-0.0055,-3.12,3.18,98.2,0.081,0.146,0.986,0.0001,W
2.44,-0.0475,55.69,0.83,98.2,0.086,0.146,0.979,0.0064,W
2.45,-0.028,18.08,3.7,98.1,0.09,0.149,0.977,0.0072,W
2.46,-0.0008,25.28,-2.53,98.1,0.069,0.146,0.983,0.0043,W
2.47,0.0418,49.57,-2.14,98.2,0.082,0.148,0.978,0.0075,W
2.48,0.0446,-4.99,4.13,98.4,0.07,0.153,0.979,0.0064,W
2.49,0.0909,3.8,-1.15,98.2,0.082,0.159,0.974,0.01,W
2.5,0.0958,-46.02,12.18,98.2,0.086,0.146,0.985,0.0009,W
2.51,0.1169,17.58,-8.28,98.4,0.081,0.147,0.978,0.0078,W
2.52,0.0553,27.66,2.59,98.2,0.077,0.146,0.985,0.0015,W
