timestamp_sec,ecg_mv,emg_uv,eog_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,0.0139,62.64,7.07,98.1,0.087,0.145,0.98,0.0057,W
0.01,0.0089,-142.46,-6.5,98.0,0.081,0.145,0.977,0.009,W
0.02,0.0234,-28.44,0.9,98.0,0.071,0.15,0.981,0.0052,W
0.03,-0.0093,9.62,-2.5,97.9,0.079,0.145,0.988,0.0014,W
0.04,-0.0154,-82.14,9.2,97.8,0.082,0.158,0.978,0.0059,W
0.05,0.0072,-99.61,-3.15,98.1,0.075,0.15,0.979,0.0064,W
0.06,0.0028,-37.97,-4.38,97.9,0.089,0.152,0.968,0.0161,W
0.07,0.027,6.15,-4.95,97.9,0.077,0.155,0.976,0.0091,W
0.08,0.0128,-56.23,3.86,98.0,0.087,0.154,0.983,0.0011,W
0.09,-0.0229,-40.73,0.38,97.9,0.083,0.147,0.976,0.0093,W
0.1,0.0132,79.92,-4.97,98.1,0.08,0.146,0.972,0.0141,W
0.11,0.0423,-51.4,2.36,97.9,0.091,0.152,0.983,0.0009,W
0.12,-0.0161,77.68,-2.83,98.1,0.08,0.153,0.98,0.0045,W
0.13,0.0615,-4.8,0.16,98.0,0.076,0.149,0.977,0.0086,W
0.14,0.0414,26.14,-7.09,97.9,0.076,0.147,0.973,0.0127,W
0.15,0.0444,-52.87,5.55,97.8,0.086,0.156,0.988,0.0035,W
0.16,0.1064,48.37,7.01,97.9,0.088,0.148,0.975,0.0101,W
0.17,0.1119,13.24,0.99,98.0,0.079,0.14,0.992,0.0052,W
0.18,0.1796,-7.0,1.44,97.9,0.081,0.151,0.984,0.0007,W
0.19,0.1808,-33.71,-5.21,98.1,0.091,0.152,0.986,0.0015,W
0.2,0.1517,7.61,1.01,97.9,0.072,0.158,0.979,0.006,W
0.21,0.132,4.32,-0.13,98.1,0.076,0.155,0.972,0.0132,W
0.22,0.0923,22.6,5.65,98.0,0.09,0.149,0.976,0.0088,W
0.23,0.0525,-25.74,7.86,98.0,0.076,0.141,0.979,0.0077,W
0.24,0.0631,33.14,1.75,97.7,0.082,0.157,0.989,0.0052,W
0.25,0.0469,6.51,-0.18,98.0,0.081,0.142,0.976,0.0108,W
0.26,0.0581,3.68,-0.02,97.9,0.079,0.146,0.977,0.0089,W
0.27,0.028,-44.42,0.62,97.9,0.07,0.154,0.979,0.0068,W
0.28,0.0425,-21.49,1.04,98.0,0.078,0.146,0.981,0.0055,W
0.29,-0.0054,109.9,9.27,98.0,0.085,0.148,0.978,0.0069,W
0.3,-0.0786,17.12,0.66,98.1,0.079,0.147,0.977,0.0085,W
0.31,-0.0598,-37.21,7.7,98.1,0.084,0.143,0.976,0.0101,W
0.32,0.0412,-9.06,1.49,98.0,0.084,0.149,0.965,0.02,W
0.33,0.5002,-9.43,6.45,97.9,0.078,0.155,0.977,0.0073,W
0.34,0.9521,18.58,0.53,98.1,0.083,0.161,0.976,0.0074,W
0.35,1.2791,-38.81,12.66,98.0,0.075,0.155,0.986,0.0015,W
0.36,1.0623,-63.96,5.8,98.0,0.075,0.152,0.977,0.0083,W
0.37,0.6078,50.0,0.47,98.3,0.08,0.154,0.982,0.0032,W
0.38,0.1155,-12.37,-2.3,98.1,0.073,0.155,0.979,0.0061,W
0.39,-0.1308,8.21,4.04,97.7,0.083,0.158,0.977,0.0065,W
0.4,-0.2764,11.02,-0.28,98.2,0.072,0.148,0.981,0.0053,W
0.41,-0.2126,44.81,-1.98,98.1,0.073,0.149,0.992,0.0053,W
0.42,-0.1538,-46.73,4.42,97.9,0.076,0.152,0.988,0.003,W
0.43,-0.0039,-7.5,2.16,98.1,0.072,0.144,0.974,0.0127,W
0.44,0.0562,-3.97,-3.92,98.0,0.074,0.153,0.985,0.0009,W
0.45,0.0449,-61.24,7.13,98.0,0.08,0.157,0.973,0.0116,W
0.46,0.0449,-1.29,-2.09,97.9,0.078,0.153,0.981,0.0042,W
0.47,0.0617,4.7,-0.43,98.1,0.083,0.152,0.979,0.0061,W
0.48,0.0912,-80.52,5.12,97.7,0.075,0.152,0.983,0.0021,W
0.49,0.0985,-38.82,-9.25,98.0,0.089,0.136,0.976,0.0108,W
0.5,0.1784,46.3,9.26,98.1,0.075,0.147,0.978,0.0079,W
0.51,0.2067,88.89,-5.99,97.8,0.075,0.149,0.982,0.0044,W
0.52,0.2087,59.07,3.92,98.1,0.079,0.159,0.973,0.011,W
0.53,0.2146,88.8,5.37,98.1,0.075,0.144,0.977,0.0091,W
0.54,0.333,-26.68,3.3,97.9,0.073,0.149,0.982,0.0044,W
0.55,0.3589,-27.34,-0.96,98.0,0.088,0.149,0.983,0.002,W
0.56,0.3631,24.08,9.77,98.3,0.079,0.144,0.98,0.0061,W
0.57,0.3453,-43.57,-4.54,98.1,0.08,0.149,0.978,0.0071,W
0.58,0.3943,45.3,1.75,98.0,0.088,0.156,0.98,0.0039,W
0.59,0.3878,39.91,5.92,98.0,0.079,0.142,0.982,0.0051,W
0.6,0.2975,-11.22,0.28,97.9,0.08,0.15,0.981,0.0043,W
0.61,0.3035,-0.56,2.95,98.1,0.077,0.15,0.98,0.0054,W
0.62,0.245,-66.81,-1.32,98.1,0.075,0.147,0.978,0.0086,W
0.63,0.1935,5.52,1.63,98.1,0.082,0.158,0.976,0.0082,W
0.64,0.1592,-99.28,-5.97,98.1,0.078,0.153,0.979,0.006,W
0.65,0.131,-31.84,2.61,98.0,0.087,0.148,0.971,0.0137,W
0.66,0.0746,-67.52,0.43,97.9,0.08,0.144,0.981,0.0056,W
0.67,0.0465,2.01,7.32,98.2,0.08,0.154,0.989,0.0041,W
0.68,0.046,13.14,2.01,98.2,0.075,0.149,0.979,0.0073,W
0.69,0.0334,-12.46,0.06,98.1,0.083,0.152,0.977,0.0075,W
0.7,0.0249,-61.04,-0.83,98.1,0.077,0.156,0.978,0.0066,W
0.71,0.0797,-104.62,2.86,98.0,0.083,0.151,0.978,0.007,W
0.72,0.0624,-19.92,-4.89,98.0,0.074,0.146,0.99,0.0032,W
0.73,0.0097,3.93,0.93,97.9,0.081,0.144,0.989,0.0024,W
0.74,0.0341,-12.94,-2.7,97.9,0.083,0.153,0.987,0.0027,W
0.75,0.0443,3.02,2.49,98.1,0.087,0.151,0.984,0.0011,W
0.76,0.04,-3.37,6.97,98.0,0.073,0.138,0.983,0.0048,W
0.77,0.0602,-28.64,14.12,98.2,0.077,0.15,0.982,0.0036,W
0.78,0.0496,5.61,3.61,98.1,0.074,0.153,0.986,0.0001,W
0.79,0.0378,-46.87,-2.7,98.0,0.076,0.143,0.978,0.0083,W
0.8,0.0905,-18.3,3.81,98.1,0.078,0.151,0.972,0.0132,W
0.81,0.0381,-48.87,-1.35,98.3,0.073,0.142,0.984,0.0034,W
0.82,0.0346,16.66,0.13,98.0,0.082,0.151,0.982,0.003,W
0.83,0.0756,-34.7,-6.06,98.0,0.081,0.146,0.984,0.0015,W
0.84,0.0562,61.52,3.22,98.2,0.079,0.152,0.972,0.0133,W
0.85,0.0505,-1.41,-3.07,97.9,0.082,0.153,0.974,0.011,W
0.86,0.0434,25.71,-2.18,98.0,0.084,0.156,0.972,0.0123,W
0.87,0.0392,19.59,-3.54,98.0,0.081,0.155,0.983,0.0018,W
0.88,0.0399,11.95,-3.12,97.9,0.088,0.144,0.982,0.0035,W
0.89,0.018,110.54,11.07,98.0,0.086,0.143,0.977,0.0085,W
0.9,0.0531,-51.34,3.22,98.2,0.079,0.154,0.974,0.0103,W
0.91,0.0498,-52.01,-1.15,97.9,0.081,0.149,0.981,0.0048,W
0.92,0.0706,10.99,3.22,98.1,0.082,0.157,0.977,0.0069,W
0.93,0.058,-29.5,-4.06,98.1,0.078,0.15,0.97,0.0158,W
0.94,0.0823,17.41,7.21,98.2,0.081,0.145,0.984,0.0026,W
0.95,0.1151,20.71,-2.01,98.2,0.08,0.158,0.978,0.0063,W
0.96,0.1526,-3.44,-1.8,98.0,0.089,0.146,0.976,0.0093,W
0.97,0.181,-43.94,2.99,98.3,0.087,0.155,0.975,0.0086,W
0.98,0.2149,52.21,-6.14,98.3,0.082,0.146,0.981,0.0051,W
0.99,0.1988,40.34,4.89,98.3,0.071,0.143,0.983,0.0042,W
1.0,0.1524,-26.15,-0.29,98.0,0.082,0.155,0.981,0.0039,W
1.01,0.1527,-14.92,0.68,98.0,0.074,0.144,0.977,0.0094,W
1.02,0.1528,-55.16,-0.48,98.4,0.083,0.159,0.984,0.0004,W
1.03,0.0851,-52.52,-3.77,98.3,0.077,0.154,0.979,0.0057,W
1.04,0.085,-13.25,0.33,98.1,0.073,0.151,0.969,0.0168,W
1.05,0.0224,-34.6,-1.93,98.3,0.08,0.157,0.973,0.0108,W
1.06,0.0608,132.98,1.59,98.4,0.084,0.147,0.987,0.0016,W
1.07,0.0887,29.17,0.81,98.2,0.081,0.149,0.987,0.0017,W
1.08,0.1003,24.28,8.1,97.8,0.085,0.146,0.984,0.0018,W
1.09,-0.0126,30.34,8.13,97.9,0.08,0.155,0.98,0.0047,W
1.1,-0.0862,16.12,7.28,98.1,0.079,0.142,0.984,0.0029,W
1.11,-0.0554,-68.82,-0.16,98.2,0.085,0.152,0.972,0.0126,W
1.12,0.2069,63.61,2.82,98.1,0.082,0.16,0.98,0.004,W
1.13,0.6863,-4.68,-7.02,98.1,0.078,0.143,0.978,0.0082,W
1.14,1.1213,-14.5,2.48,98.3,0.087,0.143,0.97,0.0155,W
1.15,1.2526,6.07,-4.85,98.2,0.083,0.151,0.984,0.0011,W
1.16,0.9052,-7.1,3.0,97.9,0.089,0.153,0.98,0.0042,W
1.17,0.4485,-18.65,-3.52,98.1,0.082,0.146,0.975,0.011,W
1.18,0.021,-6.17,-2.75,97.9,0.089,0.148,0.978,0.0071,W
1.19,-0.225,18.72,8.01,98.0,0.082,0.15,0.975,0.0098,W
1.2,-0.2675,-110.0,-1.78,98.0,0.073,0.151,0.986,0.0001,W
1.21,-0.1954,-27.06,5.42,98.2,0.077,0.149,0.988,0.0019,W
1.22,-0.0884,64.78,0.41,98.6,0.085,0.148,0.99,0.0045,W
1.23,-0.0107,-0.47,-7.17,98.0,0.085,0.151,0.975,0.0101,W
1.24,0.0409,59.26,-5.07,97.8,0.085,0.142,0.976,0.0105,W
1.25,0.0781,-16.26,7.29,98.3,0.085,0.154,0.982,0.0028,W
1.26,0.0881,-37.52,-3.6,98.0,0.08,0.141,0.978,0.0088,W
1.27,0.0653,27.37,-1.78,98.0,0.073,0.145,0.971,0.0153,W
1.28,0.0816,-7.75,-1.96,98.3,0.075,0.15,0.987,0.0015,W
1.29,0.1331,45.66,5.37,98.5,0.086,0.157,0.97,0.0137,W
1.3,0.1899,-28.08,0.56,98.2,0.079,0.147,0.982,0.0041,W
1.31,0.2214,69.17,0.8,98.4,0.082,0.148,0.985,0.0005,W
1.32,0.2456,5.53,1.56,98.2,0.075,0.159,0.979,0.005,W
1.33,0.3155,33.46,7.18,98.4,0.081,0.145,0.983,0.0026,W
1.34,0.3282,-33.52,0.36,98.2,0.078,0.149,0.984,0.0022,W
1.35,0.3449,30.44,3.16,97.9,0.077,0.152,0.982,0.0038,W
1.36,0.3899,-1.59,1.39,98.1,0.083,0.148,0.974,0.0119,W
1.37,0.3796,57.75,4.27,98.2,0.082,0.151,0.976,0.0088,W
1.38,0.3543,-57.71,2.86,98.2,0.082,0.151,0.981,0.0041,W
1.39,0.3521,21.88,1.18,98.1,0.085,0.149,0.978,0.0074,W
1.4,0.3203,56.39,-0.83,98.5,0.087,0.147,0.985,0.0002,W
1.41,0.2725,62.04,-7.5,98.2,0.084,0.134,0.976,0.011,W
1.42,0.17,-18.88,6.39,98.2,0.081,0.146,0.979,0.0073,W
1.43,0.1682,49.76,-3.84,98.0,0.074,0.148,0.987,0.0011,W
1.44,0.1155,91.91,-3.03,98.1,0.074,0.15,0.977,0.009,W
1.45,0.1206,-76.01,9.13,98.1,0.078,0.149,0.986,0.0001,W
1.46,0.0603,8.81,-4.31,98.3,0.08,0.148,0.98,0.0061,W
1.47,0.0628,52.86,1.53,98.1,0.08,0.151,0.974,0.0116,W
1.48,0.0505,52.23,4.88,98.2,0.078,0.159,0.981,0.0034,W
1.49,0.042,36.5,5.23,98.0,0.082,0.139,0.975,0.012,W
1.5,0.0471,27.71,-3.17,98.2,0.078,0.154,0.986,0.0006,W
1.51,0.0745,21.61,-1.34,98.3,0.079,0.149,0.979,0.0062,W
1.52,0.0386,35.75,2.29,98.1,0.078,0.152,0.986,0.0004,W
1.53,0.0522,47.06,-12.07,98.1,0.078,0.152,0.984,0.0009,W
1.54,0.0828,-4.75,-1.34,97.9,0.08,0.148,0.976,0.0097,W
1.55,0.0021,26.13,-5.82,98.2,0.077,0.15,0.974,0.0117,W
1.56,-0.0029,45.26,5.57,97.9,0.075,0.138,0.981,0.0067,W
1.57,0.0062,-13.48,-4.28,98.1,0.088,0.149,0.982,0.0029,W
1.58,-0.0158,67.0,-6.74,98.2,0.082,0.147,0.981,0.0046,W
1.59,0.0233,65.27,5.11,98.0,0.072,0.144,0.985,0.002,W
1.6,-0.0021,-43.84,3.68,98.1,0.08,0.152,0.977,0.0077,W
1.61,-0.0167,9.62,2.78,98.1,0.087,0.15,0.969,0.0158,W
