timestamp_sec,ecg_mv,emg_uv,eog_uv,eeg_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,0.0459,-26.0,-0.7,-3.35,97.9,0.074,0.153,0.978,0.007,W
0.01,-0.1513,-47.56,-1.06,27.37,98.0,0.079,0.149,0.982,0.0034,W
0.02,-0.0049,-9.92,-0.04,34.43,97.8,0.079,0.151,0.985,0.0007,W
0.03,-0.1013,28.88,4.33,16.15,98.0,0.082,0.152,0.974,0.0105,W
0.04,-0.0482,16.62,0.49,-5.88,98.0,0.08,0.152,0.98,0.005,W
0.05,0.0418,-15.5,7.21,5.53,98.1,0.083,0.147,0.981,0.0046,W
0.06,0.0922,-41.86,2.76,-2.74,98.1,0.081,0.151,0.982,0.0036,W
0.07,0.0463,-49.22,0.82,-5.45,98.0,0.08,0.152,0.98,0.0046,W
0.08,-0.0194,-22.81,-1.02,-18.73,98.0,0.079,0.151,0.982,0.0039,W
0.09,-0.0178,-1.23,6.43,-26.67,98.0,0.076,0.153,0.979,0.0064,W
0.1,0.0214,8.85,-0.86,-18.32,97.8,0.083,0.15,0.98,0.0048,W
0.11,0.0588,38.57,-3.09,9.76,98.0,0.082,0.149,0.979,0.0063,W
0.12,0.0788,27.42,-4.73,27.62,97.8,0.078,0.149,0.977,0.0085,W
0.13,-0.01,-19.17,-15.96,33.69,98.0,0.076,0.146,0.98,0.0066,W
0.14,0.0449,-44.7,4.91,23.24,98.0,0.08,0.15,0.982,0.0037,W
0.15,0.056,-39.53,-4.58,1.48,98.3,0.079,0.151,0.983,0.0022,W
0.16,0.0518,-7.63,-1.78,-19.12,98.2,0.078,0.154,0.981,0.0043,W
0.17,0.0526,6.7,-0.63,-13.42,98.1,0.078,0.152,0.972,0.0133,W
0.18,-0.0792,-1.47,3.24,-12.57,98.1,0.078,0.146,0.974,0.0121,W
0.19,0.1254,3.34,-0.35,-17.63,98.1,0.076,0.154,0.978,0.007,W
0.2,-0.0187,10.54,-2.66,-16.71,97.9,0.08,0.149,0.985,0.0009,W
0.21,0.0564,14.33,4.26,-12.69,97.8,0.08,0.153,0.98,0.0049,W
0.22,-0.031,-3.53,0.75,13.66,97.8,0.082,0.154,0.98,0.0048,W
0.23,-0.0521,-18.81,-7.6,24.99,97.9,0.083,0.147,0.984,0.0016,W
0.24,-0.0277,18.9,-0.56,33.32,98.2,0.079,0.147,0.982,0.0042,W
0.25,0.0609,28.49,-1.74,15.31,98.1,0.079,0.149,0.982,0.0039,W
0.26,0.1587,2.6,-0.32,-12.07,97.8,0.077,0.154,0.974,0.0105,W
0.27,0.1865,7.24,-3.82,-22.65,98.1,0.079,0.15,0.983,0.0027,W
0.28,0.1797,37.9,-7.08,-12.79,98.2,0.082,0.154,0.978,0.0064,W
0.29,0.1501,49.6,5.03,-11.75,98.2,0.086,0.149,0.98,0.005,W
0.3,0.1209,27.28,6.83,-12.06,98.0,0.081,0.149,0.975,0.0106,W
