timestamp_sec,ecg_mv,emg_uv,eog_uv,eeg_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,0.1083,-3.72,-2.99,-4.72,97.7,0.081,0.147,0.982,0.0038,W
0.01,0.0154,-6.41,7.2,23.07,97.8,0.08,0.15,0.976,0.0089,W
0.02,-0.0356,7.58,3.28,34.35,98.0,0.075,0.147,0.979,0.0071,W
0.03,0.0457,1.46,4.58,19.71,97.9,0.079,0.148,0.981,0.0044,W
0.04,0.0035,-23.3,-4.4,11.85,98.4,0.077,0.147,0.98,0.0058,W
0.05,0.0129,-6.75,5.76,-6.15,97.7,0.082,0.149,0.981,0.0047,W
0.06,0.0336,31.41,2.7,-8.76,98.2,0.08,0.146,0.986,0.0005,W
0.07,-0.0321,61.16,-2.04,-16.95,97.8,0.078,0.148,0.979,0.007,W
0.08,-0.008,66.76,1.38,-18.87,97.8,0.076,0.151,0.982,0.004,W
0.09,-0.0198,67.4,-0.07,-25.61,98.2,0.078,0.148,0.979,0.007,W
0.1,0.0869,73.51,5.53,-14.39,98.0,0.083,0.148,0.98,0.0053,W
0.11,0.3758,26.86,-8.97,11.82,97.8,0.081,0.152,0.981,0.0043,W
0.12,0.9198,-9.25,5.08,30.95,97.8,0.082,0.15,0.983,0.0022,W
0.13,1.2996,13.03,1.6,33.56,97.6,0.079,0.151,0.982,0.0036,W
0.14,1.1863,42.37,4.34,24.02,98.0,0.087,0.146,0.977,0.0083,W
0.15,0.6278,35.25,-2.47,-7.69,98.2,0.08,0.152,0.981,0.004,W
0.16,0.0827,2.88,0.68,-8.59,98.2,0.079,0.149,0.98,0.0055,W
0.17,-0.1048,9.28,-2.3,-9.59,97.9,0.082,0.154,0.984,0.0005,W
0.18,-0.2752,24.84,6.2,-10.41,97.9,0.081,0.154,0.978,0.0065,W
0.19,-0.3547,5.26,3.42,-25.61,97.8,0.082,0.151,0.979,0.006,W
0.2,-0.1411,-1.94,1.9,-23.63,98.1,0.081,0.153,0.979,0.0059,W
0.21,0.0422,11.46,-3.35,-19.83,98.2,0.073,0.152,0.977,0.0081,W
0.22,0.0273,23.91,-3.46,11.41,98.2,0.078,0.15,0.982,0.0039,W
0.23,-0.015,21.93,-3.7,34.32,97.9,0.084,0.158,0.978,0.0061,W
0.24,0.0028,-15.43,5.37,34.25,97.8,0.078,0.153,0.985,0.0004,W
0.25,0.0873,-32.41,2.73,18.6,98.0,0.085,0.146,0.983,0.0021,W
0.26,-0.0419,-9.53,7.81,-5.71,98.1,0.078,0.149,0.975,0.0102,W
0.27,0.0346,6.92,-0.02,-21.78,97.8,0.083,0.157,0.979,0.0053,W
0.28,0.1684,-15.24,-9.02,-18.12,97.9,0.082,0.153,0.979,0.0058,W
0.29,0.0265,-36.55,-0.95,-15.62,98.2,0.078,0.146,0.98,0.0061,W
0.3,0.2185,-23.05,-1.12,-7.79,98.1,0.083,0.15,0.979,0.0066,W
0.31,0.2642,-22.48,-2.48,-8.02,97.9,0.078,0.144,0.98,0.0065,W
0.32,0.186,-14.24,9.2,-8.19,98.2,0.081,0.152,0.984,0.001,W
0.33,0.2313,5.51,-1.38,8.44,98.0,0.081,0.15,0.98,0.0055,W
0.34,0.3891,9.47,-4.45,35.32,97.8,0.079,0.153,0.981,0.0044,W
0.35,0.4017,32.13,7.08,35.51,98.1,0.073,0.148,0.976,0.0098,W
0.36,0.4348,52.04,-1.44,10.08,98.3,0.075,0.149,0.983,0.0033,W
0.37,0.3261,21.51,2.05,-24.87,97.9,0.079,0.151,0.977,0.0083,W
0.38,0.2991,-24.92,-3.99,-27.61,98.2,0.079,0.146,0.977,0.0086,W
0.39,0.2882,-47.75,-4.13,-25.21,98.1,0.077,0.155,0.979,0.0059,W
0.4,0.1973,-34.46,-3.08,-13.98,97.8,0.081,0.146,0.986,0.0003,W
0.41,0.2929,14.02,4.8,-12.6,98.2,0.082,0.15,0.979,0.0066,W
0.42,0.0571,51.17,9.79,-14.27,98.1,0.078,0.148,0.977,0.0087,W
0.43,0.166,35.46,3.34,-2.45,98.0,0.08,0.151,0.977,0.0082,W
0.44,0.0936,-12.52,3.01,18.59,98.0,0.081,0.154,0.98,0.0045,W
0.45,0.0421,-21.56,1.91,30.73,98.0,0.073,0.149,0.981,0.0047,W
0.46,-0.0584,0.42,-2.5,27.91,97.8,0.085,0.15,0.981,0.0044,W
0.47,0.0978,-5.0,-1.3,11.16,98.3,0.08,0.15,0.979,0.0064,W
0.48,-0.0993,-36.43,-2.33,-16.97,98.1,0.081,0.147,0.982,0.0035,W
0.49,0.0658,-72.27,-8.14,-32.33,98.0,0.079,0.151,0.982,0.0037,W
0.5,0.0408,-54.29,0.05,-26.79,98.2,0.08,0.15,0.979,0.0066,W
0.51,0.0451,-22.96,0.82,-12.23,98.0,0.078,0.151,0.984,0.0011,W
0.52,0.0219,-46.31,0.46,-0.11,97.8,0.081,0.156,0.981,0.0033,W
0.53,0.0401,-51.37,9.3,4.3,98.1,0.082,0.148,0.979,0.0068,W
0.54,0.0198,12.21,0.13,8.96,97.9,0.081,0.145,0.984,0.0017,W
0.55,0.0331,53.38,6.35,18.72,98.1,0.086,0.145,0.979,0.0068,W
0.56,0.23,14.39,-9.29,28.71,98.1,0.074,0.15,0.978,0.0075,W
0.57,0.2124,-7.86,0.25,24.39,97.9,0.077,0.152,0.98,0.0054,W
0.58,0.1509,27.19,-4.71,-0.15,98.0,0.084,0.153,0.98,0.0048,W
0.59,0.3734,33.54,5.46,-21.1,98.0,0.082,0.151,0.98,0.0053,W
0.6,0.2062,-17.41,0.63,-40.86,98.1,0.079,0.144,0.976,0.0106,W
0.61,0.126,-41.18,2.32,-30.32,98.3,0.08,0.155,0.985,0.0001,W
0.62,0.0566,-38.35,-5.71,-4.91,98.1,0.079,0.152,0.977,0.0077,W
0.63,0.1509,-36.06,-0.77,5.35,97.8,0.08,0.149,0.981,0.0043,W
0.64,0.0239,-2.0,-2.35,3.91,97.9,0.081,0.146,0.982,0.0039,W
0.65,0.0504,12.28,4.83,8.71,98.1,0.084,0.15,0.98,0.0048,W
0.66,-0.0009,-11.59,-5.09,9.54,97.7,0.082,0.145,0.977,0.0092,W
0.67,0.0615,1.2,-4.07,25.59,98.1,0.084,0.15,0.977,0.0083,W
0.68,0.0655,36.14,-0.11,26.17,98.0,0.076,0.146,0.979,0.0069,W
0.69,0.0369,27.29,4.52,2.58,97.8,0.075,0.151,0.979,0.0062,W
0.7,-0.0452,0.16,-7.86,-32.39,98.3,0.079,0.148,0.982,0.0035,W
0.71,-0.1357,-5.53,-13.62,-30.88,98.2,0.077,0.151,0.977,0.0084,W
0.72,-0.0361,1.96,-1.81,-29.03,98.4,0.08,0.147,0.982,0.0035,W
0.73,0.4989,1.1,4.01,-1.47,98.1,0.085,0.143,0.974,0.012,W
