timestamp_sec,ecg_mv,emg_uv,eog_uv,eeg_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,-0.0154,8.29,-11.59,2.21,98.3,0.084,0.148,0.977,0.0084,W
0.01,-0.0784,43.68,3.49,25.94,98.1,0.086,0.152,0.979,0.0059,W
0.02,0.0384,31.28,-4.22,32.01,98.2,0.079,0.149,0.979,0.0062,W
0.03,0.1401,-5.97,-8.55,28.15,98.2,0.08,0.15,0.983,0.0028,W
0.04,0.0277,-2.34,-6.62,11.32,97.7,0.08,0.15,0.977,0.0087,W
0.05,0.0403,3.33,7.2,-1.74,98.5,0.081,0.15,0.983,0.002,W
0.06,0.1242,-2.72,1.07,-10.83,97.9,0.081,0.153,0.984,0.0013,W
0.07,0.11,-0.93,3.39,-2.25,98.5,0.075,0.153,0.975,0.0098,W
0.08,0.1826,-9.02,-2.83,-21.3,98.2,0.083,0.152,0.98,0.0051,W
0.09,0.1072,-6.59,-4.13,-19.6,97.7,0.08,0.148,0.985,0.001,W
0.1,0.1106,-4.33,-2.13,-17.72,98.0,0.08,0.147,0.98,0.0054,W
0.11,0.0883,-7.54,12.15,5.34,98.0,0.08,0.154,0.979,0.0063,W
0.12,-0.0039,18.54,-0.75,32.36,98.2,0.084,0.15,0.98,0.0052,W
0.13,-0.0526,19.49,-5.71,37.55,98.2,0.085,0.155,0.985,0.0008,W
0.14,0.0827,-24.23,0.78,17.57,98.0,0.078,0.149,0.981,0.0052,W
0.15,0.0894,-33.01,8.76,1.72,98.1,0.078,0.148,0.978,0.0076,W
0.16,0.0364,-12.67,3.27,-12.47,98.1,0.079,0.151,0.98,0.0052,W
0.17,0.0799,-26.1,0.99,-11.08,97.7,0.077,0.151,0.975,0.0102,W
0.18,-0.0575,-38.05,2.2,-7.16,97.9,0.077,0.147,0.986,0.0001,W
0.19,-0.1563,-10.35,-3.38,-18.36,98.2,0.081,0.155,0.985,0.0002,W
0.2,-0.0002,6.66,0.67,-21.4,97.6,0.078,0.149,0.982,0.0034,W
0.21,0.2681,-23.22,7.33,-14.26,97.9,0.079,0.148,0.977,0.0085,W
0.22,0.7359,-33.29,-5.21,12.75,97.9,0.082,0.149,0.983,0.0026,W
0.23,1.247,-2.41,-6.55,34.75,97.8,0.077,0.148,0.982,0.0044,W
0.24,1.1841,16.01,2.29,34.9,97.7,0.081,0.153,0.979,0.0058,W
0.25,0.7613,28.48,5.73,27.02,98.1,0.081,0.151,0.981,0.0038,W
0.26,0.2732,28.41,3.12,-18.37,97.6,0.079,0.143,0.984,0.0026,W
0.27,-0.0251,4.33,-2.7,-18.35,97.8,0.079,0.143,0.979,0.0078,W
0.28,-0.1945,-23.49,-4.94,-19.91,98.0,0.083,0.148,0.972,0.0133,W
0.29,-0.1719,-26.14,9.43,-19.75,98.1,0.079,0.149,0.98,0.006,W
0.3,-0.1485,4.84,0.39,-13.01,98.1,0.083,0.147,0.979,0.0062,W
0.31,-0.093,33.27,-1.13,-9.57,97.7,0.083,0.153,0.981,0.0041,W
0.32,0.0187,36.93,-3.37,-11.51,98.1,0.083,0.153,0.98,0.005,W
0.33,-0.0295,29.26,1.87,12.97,98.1,0.08,0.149,0.979,0.0061,W
0.34,0.0833,19.94,1.79,31.69,97.9,0.082,0.151,0.981,0.0042,W
0.35,-0.0341,10.44,-0.08,31.8,98.4,0.078,0.157,0.984,0.001,W
0.36,0.0497,3.35,-3.53,24.21,97.9,0.079,0.15,0.975,0.0101,W
0.37,0.1427,13.44,-6.45,-17.0,97.6,0.081,0.15,0.983,0.0024,W
0.38,0.0102,27.94,-3.84,-24.4,98.0,0.08,0.152,0.982,0.0029,W
0.39,0.1064,13.21,-5.46,-29.49,98.1,0.079,0.15,0.978,0.0074,W
0.4,0.2213,0.35,-4.43,-18.86,97.8,0.082,0.149,0.985,0.0001,W
0.41,0.2785,1.78,8.31,-16.84,98.0,0.076,0.148,0.979,0.0069,W
0.42,0.3087,-17.4,-10.63,-3.37,98.1,0.082,0.149,0.976,0.009,W
0.43,0.3149,-19.15,-8.79,-7.88,97.9,0.083,0.153,0.976,0.0091,W
0.44,0.351,-3.71,-2.38,16.67,98.0,0.075,0.148,0.979,0.0066,W
0.45,0.4602,-9.03,7.94,33.4,98.1,0.08,0.147,0.982,0.0044,W
0.46,0.4163,4.43,-1.6,36.49,98.3,0.08,0.147,0.978,0.0075,W
0.47,0.3695,13.58,8.61,6.15,98.0,0.082,0.148,0.982,0.0031,W
0.48,0.3142,-5.15,-4.91,-27.21,97.7,0.08,0.151,0.983,0.0023,W
0.49,0.3228,-9.58,4.59,-31.88,98.1,0.081,0.151,0.987,0.0018,W
0.5,0.2493,-2.16,-3.42,-27.05,97.8,0.073,0.146,0.978,0.0089,W
0.51,0.1099,-1.92,6.29,-10.9,98.4,0.085,0.152,0.981,0.0038,W
0.52,0.1737,-11.0,-0.55,2.5,98.0,0.079,0.145,0.979,0.0073,W
0.53,0.1116,-25.71,5.99,8.93,97.7,0.078,0.151,0.978,0.0068,W
0.54,0.039,-12.11,1.84,8.95,98.1,0.085,0.15,0.981,0.0039,W
0.55,0.0915,0.54,7.49,19.52,98.2,0.082,0.155,0.979,0.0057,W
0.56,0.0246,-20.15,-7.82,20.22,97.8,0.081,0.151,0.982,0.0029,W
0.57,0.0548,-31.64,3.5,23.07,97.9,0.079,0.151,0.985,0.0003,W
0.58,-0.0061,-29.55,-3.48,11.18,97.7,0.08,0.147,0.979,0.0066,W
0.59,-0.0892,-23.81,-4.49,-19.46,98.0,0.081,0.15,0.984,0.0016,W
0.6,0.0729,-12.83,-4.93,-40.87,97.7,0.083,0.156,0.981,0.0032,W
0.61,0.0008,2.09,-0.75,-26.63,98.2,0.081,0.147,0.985,0.0003,W
0.62,0.1167,2.47,4.55,-6.37,98.1,0.084,0.152,0.983,0.0021,W
0.63,0.0147,7.04,-0.92,9.76,97.9,0.076,0.152,0.979,0.0068,W
0.64,0.0064,2.8,-10.72,7.48,97.7,0.088,0.146,0.979,0.0059,W
0.65,-0.016,-39.26,2.7,10.42,97.7,0.074,0.145,0.981,0.0058,W
0.66,0.077,-41.06,2.43,26.18,98.2,0.085,0.149,0.976,0.009,W
0.67,0.0591,-6.68,10.55,23.24,98.0,0.076,0.15,0.977,0.0082,W
0.68,0.1125,-2.69,-0.3,16.43,98.2,0.078,0.157,0.978,0.0062,W
0.69,0.0288,-2.43,-0.17,2.33,97.9,0.084,0.151,0.976,0.0087,W
0.7,-0.0049,5.13,9.29,-27.88,97.8,0.083,0.148,0.977,0.0087,W
0.71,0.0682,10.33,-0.28,-39.77,97.7,0.085,0.154,0.975,0.0091,W
0.72,-0.0021,-13.41,-6.48,-26.3,97.8,0.077,0.151,0.983,0.0025,W
0.73,0.0945,-52.73,0.85,4.74,97.7,0.084,0.155,0.979,0.0057,W
0.74,0.1248,-46.11,5.44,13.53,98.1,0.084,0.146,0.978,0.0076,W
0.75,-0.0061,-47.97,-6.55,18.5,98.0,0.084,0.149,0.977,0.0083,W
0.76,0.0397,-59.85,-0.89,7.12,97.7,0.084,0.151,0.979,0.0062,W
0.77,0.0573,-32.15,-8.52,15.89,97.8,0.077,0.143,0.983,0.0034,W
0.78,0.0438,-18.0,-8.27,20.49,97.7,0.082,0.15,0.981,0.0042,W
0.79,0.0984,-41.11,-4.56,11.46,97.8,0.08,0.15,0.977,0.0082,W
0.8,0.1534,-43.66,-1.11,-10.25,97.9,0.083,0.15,0.983,0.0016,W
0.81,0.1281,6.92,1.65,-35.38,97.8,0.082,0.151,0.977,0.0084,W
0.82,0.2314,28.64,2.08,-40.22,97.8,0.083,0.152,0.983,0.0021,W
0.83,0.2173,-0.29,0.86,-22.8,97.7,0.085,0.145,0.98,0.0058,W
0.84,0.1732,-12.29,2.03,13.33,97.7,0.082,0.146,0.981,0.0047,W
0.85,0.1713,-32.59,1.8,19.12,97.8,0.081,0.149,0.975,0.0101,W
0.86,0.1369,-40.45,-6.17,17.94,97.9,0.086,0.151,0.979,0.0061,W
0.87,0.0635,-22.78,6.34,24.41,97.8,0.082,0.155,0.977,0.007,W
0.88,0.1041,-40.69,1.38,6.29,97.5,0.082,0.148,0.977,0.0084,W
0.89,0.1296,-40.51,-5.09,7.4,98.0,0.079,0.152,0.98,0.0052,W
0.9,0.0748,4.21,-2.56,1.47,98.2,0.08,0.151,0.978,0.0075,W
0.91,0.0807,16.36,-0.9,-7.81,97.8,0.08,0.153,0.981,0.0039,W
0.92,0.0856,0.69,-2.03,-29.73,97.9,0.078,0.149,0.978,0.0073,W
0.93,-0.0127,5.93,-1.03,-35.75,97.8,0.079,0.153,0.977,0.0083,W
0.94,0.08,6.11,-1.61,-11.23,98.0,0.08,0.152,0.975,0.01,W
0.95,-0.035,3.6,3.61,5.12,97.8,0.08,0.154,0.978,0.0072,W
0.96,-0.1396,12.4,-2.92,28.05,97.1,0.081,0.147,0.978,0.0074,W
0.97,0.2176,-6.61,3.57,35.22,97.7,0.081,0.151,0.973,0.0123,W
0.98,0.8677,-26.9,-2.83,14.0,97.9,0.085,0.146,0.983,0.0026,W
0.99,1.2541,-7.21,-0.7,4.74,98.1,0.078,0.146,0.982,0.0038,W
1.0,1.2392,25.62,-6.96,-3.25,97.9,0.082,0.149,0.982,0.0031,W
1.01,0.7185,22.25,-0.21,-5.14,98.2,0.077,0.147,0.981,0.0052,W
1.02,0.3119,-15.03,8.71,-20.69,97.8,0.08,0.147,0.98,0.0056,W
1.03,-0.0921,-40.44,3.76,-22.28,97.9,0.083,0.153,0.979,0.0058,W
1.04,-0.1793,-48.2,-3.08,-22.95,97.7,0.079,0.154,0.983,0.0023,W
1.05,-0.2502,-28.12,-3.04,-13.89,98.0,0.081,0.147,0.983,0.0029,W
1.06,-0.1397,21.79,6.5,14.06,97.7,0.08,0.146,0.979,0.007,W
1.07,-0.0316,29.13,8.2,26.55,98.1,0.08,0.148,0.982,0.0033,W
1.08,-0.0213,-21.95,-4.05,34.17,97.9,0.078,0.152,0.987,0.0015,W
1.09,0.0983,-35.62,-4.24,9.17,97.7,0.079,0.148,0.983,0.0026,W
1.1,0.0178,-12.22,1.93,-5.13,97.9,0.082,0.152,0.984,0.0012,W
1.11,0.0781,-12.27,-3.5,-12.47,97.8,0.082,0.146,0.977,0.0091,W
1.12,0.0052,-4.53,-12.83,-8.98,97.8,0.077,0.15,0.984,0.0019,W
1.13,0.0283,16.76,4.44,-15.44,97.7,0.08,0.148,0.985,0.0011,W
1.14,0.1616,15.66,3.29,-25.75,97.9,0.08,0.151,0.975,0.01,W
1.15,0.1862,-13.32,13.2,-21.06,97.8,0.076,0.146,0.984,0.0022,W
1.16,0.2267,-38.59,4.3,0.34,97.8,0.081,0.148,0.982,0.0041,W
1.17,0.259,86.46,-0.8,19.96,97.7,0.078,0.149,0.98,0.006,W
1.18,0.2936,106.03,-1.05,36.65,97.9,0.084,0.15,0.977,0.0082,W
1.19,0.2965,45.51,-3.41,22.35,98.0,0.079,0.151,0.982,0.0034,W
1.2,0.4161,-22.67,-1.39,8.69,97.9,0.08,0.149,0.981,0.0042,W
1.21,0.3565,85.27,-2.74,-8.15,98.0,0.08,0.149,0.976,0.0091,W
1.22,0.3365,27.71,0.38,-26.65,98.0,0.078,0.155,0.979,0.0056,W
1.23,0.3503,7.94,2.0,-15.81,97.9,0.082,0.144,0.974,0.0119,W
1.24,0.4051,-40.05,7.12,-12.2,97.8,0.078,0.149,0.98,0.0053,W
1.25,0.2956,-32.42,-6.2,-17.51,97.8,0.081,0.152,0.975,0.0094,W
1.26,0.2344,12.46,-7.33,-16.08,97.7,0.076,0.151,0.982,0.0035,W
1.27,0.1817,-62.25,1.87,-0.52,97.7,0.077,0.146,0.982,0.0046,W
1.28,0.1717,-54.42,-3.71,16.02,97.9,0.079,0.151,0.981,0.004,W
1.29,0.1203,-31.44,4.06,39.38,98.0,0.081,0.156,0.982,0.0021,W
1.3,0.0605,131.1,1.28,20.88,97.7,0.081,0.15,0.977,0.0088,W
1.31,0.0536,51.14,0.21,8.43,97.7,0.08,0.153,0.979,0.0059,W
1.32,0.0812,36.43,4.48,-18.69,98.1,0.081,0.149,0.978,0.0076,W
1.33,0.0711,77.59,4.54,-19.98,97.5,0.084,0.147,0.981,0.0047,W
1.34,0.0739,-30.48,-2.2,-11.54,97.8,0.081,0.148,0.982,0.0033,W
1.35,0.0334,-42.08,-3.27,-8.16,97.7,0.086,0.153,0.983,0.0013,W
1.36,-0.0927,48.27,8.29,-13.92,97.6,0.081,0.148,0.976,0.009,W
1.37,-0.0085,-75.68,0.79,-5.79,97.1,0.084,0.146,0.982,0.0032,W
1.38,0.0084,1.91,-7.2,7.32,97.5,0.081,0.16,0.984,0.0002,W
1.39,0.0953,-8.39,0.78,29.31,98.1,0.079,0.148,0.981,0.0053,W
1.4,0.0622,-59.61,12.85,39.74,97.8,0.087,0.15,0.976,0.0084,W
1.41,-0.0125,86.18,-2.02,22.58,97.8,0.08,0.152,0.98,0.0054,W
1.42,0.0747,-38.33,4.06,-3.16,97.7,0.084,0.154,0.972,0.0119,W
1.43,0.0329,32.14,-0.81,-24.11,97.5,0.083,0.15,0.977,0.0079,W
1.44,-0.021,84.69,9.25,-27.93,97.7,0.081,0.148,0.978,0.0073,W
1.45,-0.0143,-74.65,-2.57,-21.4,97.7,0.08,0.146,0.982,0.0042,W
1.46,0.0315,37.97,4.96,-3.54,97.6,0.081,0.15,0.981,0.0048,W
1.47,0.0405,23.76,2.68,-6.87,97.8,0.083,0.151,0.975,0.0095,W
1.48,0.0102,-30.05,-5.57,-1.14,97.6,0.083,0.15,0.975,0.0097,W
1.49,0.08,111.15,1.56,3.39,97.6,0.082,0.15,0.977,0.008,W
1.5,0.025,39.59,-7.19,25.65,97.6,0.08,0.15,0.979,0.0061,W
1.51,0.043,164.81,3.81,26.05,97.5,0.078,0.149,0.984,0.0019,W
1.52,0.1116,5.41,-3.25,13.01,97.3,0.076,0.146,0.979,0.0075,W
1.53,0.0481,41.51,-5.79,-10.54,97.7,0.08,0.151,0.981,0.0046,W
1.54,0.1651,-23.58,-0.1,-38.73,97.6,0.078,0.152,0.976,0.0087,W
1.55,0.1905,-209.35,-9.9,-31.25,97.6,0.076,0.155,0.977,0.0081,W
1.56,0.1626,-20.04,6.56,-20.2,97.7,0.088,0.152,0.98,0.0039,W
1.57,0.2029,25.88,-1.23,-7.42,97.9,0.081,0.156,0.979,0.0053,W
1.58,0.1091,29.62,9.66,2.03,97.8,0.079,0.147,0.98,0.0061,W
1.59,0.1428,-30.16,13.79,8.57,97.6,0.079,0.149,0.979,0.0067,W
1.6,0.0779,-68.07,-2.73,22.61,97.7,0.08,0.154,0.978,0.0069,W
1.61,0.0624,59.11,12.79,18.84,97.7,0.08,0.145,0.979,0.0074,W
1.62,0.0155,-44.93,6.82,25.98,98.0,0.083,0.152,0.98,0.0051,W
1.63,-0.0506,-64.46,6.07,15.66,97.5,0.082,0.154,0.982,0.0022,W
1.64,0.016,-188.82,-9.18,-16.96,97.5,0.079,0.147,0.981,0.0054,W
1.65,0.0354,-78.41,-0.25,-37.22,97.6,0.085,0.149,0.976,0.0091,W
1.66,-0.0636,121.34,-0.31,-25.43,97.5,0.083,0.139,0.978,0.0091,W
1.67,-0.1023,-14.43,0.46,-7.32,97.5,0.081,0.15,0.985,0.0,W
1.68,0.001,67.97,-5.2,9.32,97.9,0.078,0.146,0.976,0.0098,W
1.69,0.29,-35.07,-0.1,18.83,97.6,0.081,0.145,0.973,0.0127,W
1.7,0.8183,46.37,3.39,14.59,97.8,0.08,0.149,0.986,0.0004,W
1.71,1.2528,-123.9,-3.72,11.68,97.7,0.079,0.15,0.975,0.0103,W
1.72,1.2939,-124.05,1.71,17.35,97.7,0.08,0.149,0.985,0.0009,W
1.73,0.7087,82.29,-10.17,17.6,97.4,0.081,0.147,0.974,0.0112,W
1.74,0.3023,-51.58,-3.53,11.82,97.7,0.083,0.153,0.982,0.0025,W
1.75,-0.0932,-63.73,4.26,-20.6,97.7,0.077,0.154,0.978,0.0071,W
1.76,-0.2705,79.77,-6.7,-36.79,97.7,0.079,0.154,0.981,0.0036,W
