timestamp_sec,ecg_mv,emg_uv,eog_uv,eeg_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,0.0907,6.88,3.84,1.07,97.9,0.076,0.15,0.98,0.0055,W
0.01,0.0797,11.24,-3.75,24.22,98.2,0.083,0.148,0.977,0.0085,W
0.02,0.0184,12.65,-4.25,32.57,98.1,0.078,0.149,0.981,0.0043,W
0.03,0.0218,21.37,-4.2,20.38,98.1,0.082,0.147,0.983,0.0027,W
0.04,-0.0106,27.55,-0.42,14.07,98.1,0.084,0.15,0.982,0.0034,W
0.05,-0.0683,8.31,-3.68,-5.12,98.1,0.078,0.149,0.98,0.006,W
0.06,-0.0348,-16.85,-3.73,-3.58,98.2,0.08,0.148,0.974,0.0112,W
0.07,0.0042,-11.63,-2.23,-8.76,98.4,0.079,0.154,0.975,0.0094,W
0.08,0.0235,15.46,0.95,-19.59,97.8,0.079,0.147,0.979,0.0069,W
0.09,0.0026,29.58,-2.27,-30.26,98.1,0.081,0.153,0.979,0.0058,W
0.1,-0.0526,28.44,4.56,-20.55,97.8,0.078,0.152,0.988,0.0029,W
0.11,0.055,20.87,2.26,2.64,97.9,0.079,0.156,0.98,0.0044,W
0.12,-0.0304,-10.32,-3.77,27.53,98.2,0.083,0.158,0.981,0.0034,W
0.13,-0.0366,-59.73,-5.5,38.61,98.0,0.078,0.149,0.983,0.0027,W
0.14,0.0084,-67.0,0.7,17.68,97.9,0.085,0.151,0.982,0.0032,W
0.15,0.0274,-13.18,-5.71,2.37,98.1,0.078,0.15,0.978,0.0075,W
0.16,0.0583,33.81,-3.19,-5.04,97.9,0.081,0.152,0.978,0.0074,W
0.17,0.0202,33.54,12.69,-5.19,98.2,0.079,0.154,0.983,0.0019,W
0.18,0.0484,21.62,5.41,-13.2,97.9,0.081,0.15,0.977,0.0084,W
0.19,0.0011,24.51,-3.08,-18.38,98.2,0.078,0.145,0.977,0.0095,W
0.2,0.0453,30.78,6.27,-18.96,98.0,0.083,0.148,0.975,0.0099,W
0.21,0.0227,23.61,-4.53,-14.72,97.9,0.073,0.147,0.978,0.0087,W
0.22,0.0861,-4.65,5.78,7.41,98.1,0.082,0.146,0.978,0.0075,W
0.23,-0.0041,-17.33,-1.57,35.05,98.0,0.079,0.148,0.981,0.0045,W
0.24,0.0638,2.88,-3.96,35.71,98.1,0.08,0.145,0.982,0.0038,W
0.25,0.0585,11.15,-0.69,16.55,98.1,0.077,0.155,0.98,0.0052,W
0.26,0.0193,15.33,6.19,-8.6,98.1,0.076,0.152,0.981,0.0046,W
0.27,0.0648,15.72,-0.49,-14.88,98.2,0.076,0.15,0.982,0.0033,W
0.28,0.0374,-19.69,-3.94,-24.35,98.2,0.08,0.152,0.98,0.0049,W
0.29,0.0361,-24.28,0.01,-13.55,97.9,0.08,0.156,0.98,0.0047,W
0.3,-0.0474,12.27,-0.92,-15.27,97.8,0.077,0.146,0.982,0.0044,W
0.31,0.1458,17.05,-4.07,-5.0,98.3,0.078,0.148,0.984,0.0023,W
0.32,0.0639,20.42,-3.92,-2.22,98.0,0.077,0.152,0.984,0.0011,W
0.33,0.1135,40.48,-2.27,17.66,98.1,0.082,0.153,0.982,0.0031,W
0.34,0.0308,13.04,-6.8,41.45,97.8,0.085,0.156,0.978,0.0064,W
0.35,0.1715,-17.7,-0.37,34.9,97.9,0.08,0.154,0.98,0.005,W
0.36,0.2026,9.69,6.04,12.4,98.2,0.076,0.148,0.98,0.0057,W
0.37,0.1646,32.25,3.62,-5.0,98.1,0.081,0.149,0.981,0.0045,W
0.38,0.217,29.66,11.71,-20.46,97.8,0.083,0.152,0.978,0.0064,W
0.39,0.1286,24.09,-10.52,-21.05,98.0,0.077,0.148,0.977,0.0088,W
0.4,0.1055,8.5,-2.38,-9.09,98.1,0.079,0.151,0.986,0.0008,W
0.41,0.1537,-0.94,13.48,0.71,98.2,0.075,0.153,0.981,0.0048,W
0.42,0.0764,6.39,10.03,-3.35,98.0,0.086,0.147,0.982,0.0037,W
0.43,0.0404,23.81,4.74,1.81,98.0,0.073,0.148,0.98,0.0065,W
0.44,-0.0092,6.34,-3.96,14.5,98.0,0.078,0.152,0.981,0.0039,W
0.45,0.0512,-29.04,2.93,27.35,97.8,0.08,0.151,0.973,0.0123,W
0.46,-0.0547,-22.74,-4.65,30.8,98.0,0.08,0.15,0.98,0.0056,W
0.47,0.0116,-17.47,-1.16,7.69,98.3,0.08,0.149,0.975,0.0105,W
0.48,-0.1396,-8.1,2.72,-19.08,98.2,0.077,0.15,0.979,0.007,W
0.49,-0.073,27.33,-4.18,-31.6,98.1,0.081,0.15,0.981,0.0041,W
0.5,0.0598,35.43,4.0,-26.14,98.1,0.082,0.147,0.977,0.0081,W
0.51,0.5596,1.94,-0.23,-5.62,98.1,0.081,0.15,0.978,0.0078,W
0.52,1.0652,-27.56,1.19,-1.35,97.8,0.083,0.153,0.98,0.0052,W
0.53,1.2989,-12.39,-2.31,5.48,98.0,0.082,0.15,0.977,0.008,W
