timestamp_sec,ecg_mv,emg_uv,eog_uv,eeg_uv,spo2_pct,acc_x,acc_y,acc_z,motion_mag,sleep_stage
0.0,-0.0416,-38.83,-5.12,0.95,98.3,0.077,0.15,0.975,0.0107,W
0.01,-0.0144,-29.95,2.49,24.83,98.0,0.083,0.148,0.979,0.0067,W
0.02,-0.0274,-4.92,-11.29,31.98,98.0,0.081,0.157,0.983,0.0008,W
0.03,-0.0272,3.47,-5.72,19.0,97.8,0.081,0.146,0.985,0.0014,W
0.04,-0.0047,2.62,7.76,12.76,98.1,0.081,0.146,0.976,0.0098,W
0.05,0.0098,-13.31,8.02,-7.44,97.7,0.079,0.149,0.982,0.0037,W
0.06,0.022,-7.75,2.98,-4.18,98.0,0.08,0.15,0.981,0.0044,W
0.07,0.0123,14.1,-3.35,-11.51,97.9,0.076,0.147,0.983,0.0032,W
0.08,0.0335,0.74,4.9,-25.95,98.0,0.079,0.146,0.985,0.0014,W
0.09,-0.0192,-20.42,5.43,-32.02,98.2,0.075,0.149,0.98,0.0058,W
0.1,0.0365,-25.67,2.2,-16.67,98.2,0.086,0.15,0.979,0.0062,W
0.11,-0.0033,-23.41,3.02,7.71,98.0,0.075,0.151,0.985,0.0003,W
0.12,0.0358,-15.19,-3.96,28.1,97.9,0.08,0.149,0.976,0.0098,W
0.13,0.0582,-12.32,1.04,37.56,97.9,0.08,0.15,0.984,0.0015,W
0.14,0.0704,-6.45,3.08,22.98,98.0,0.08,0.149,0.978,0.007,W
0.15,0.1284,13.04,-2.12,-8.34,98.0,0.076,0.148,0.98,0.0065,W
0.16,0.1291,2.97,1.86,-12.76,98.0,0.084,0.151,0.979,0.0054,W
0.17,0.1397,-24.79,4.3,-16.14,98.0,0.087,0.148,0.981,0.004,W
0.18,0.1797,-10.06,-1.28,-13.62,98.1,0.084,0.152,0.981,0.004,W
0.19,0.1184,7.07,3.61,-26.33,98.2,0.082,0.15,0.982,0.0037,W
0.2,0.0908,7.18,-7.77,-19.43,98.0,0.077,0.154,0.98,0.005,W
0.21,0.0814,19.74,-4.47,-10.44,97.9,0.077,0.155,0.985,0.0003,W
0.22,0.0375,16.6,-2.49,9.4,98.0,0.081,0.148,0.984,0.0018,W
0.23,0.0205,3.67,7.16,28.76,97.9,0.082,0.155,0.977,0.0074,W
0.24,0.0359,-0.83,-2.15,31.01,97.8,0.081,0.151,0.979,0.0066,W
0.25,0.0302,-3.44,3.41,19.79,98.0,0.075,0.148,0.977,0.009,W
0.26,-0.0088,-1.32,0.36,-5.41,98.1,0.079,0.15,0.979,0.006,W
0.27,-0.009,-9.67,2.17,-27.85,97.9,0.078,0.153,0.982,0.003,W
0.28,-0.0238,-14.57,-4.38,-17.68,98.3,0.083,0.154,0.976,0.008,W
0.29,-0.0959,1.24,2.9,-8.19,98.1,0.079,0.154,0.983,0.0015,W
0.3,0.0791,16.7,-0.14,-13.08,98.3,0.074,0.157,0.981,0.0033,W
0.31,0.5667,20.1,-4.57,-18.63,97.9,0.085,0.152,0.977,0.0075,W
0.32,1.0474,16.4,-11.26,-5.5,98.2,0.079,0.146,0.98,0.0057,W
0.33,1.2923,-3.72,1.96,9.4,97.9,0.082,0.152,0.976,0.0088,W
0.34,1.0144,-34.7,2.38,34.44,98.0,0.076,0.151,0.978,0.0076,W
0.35,0.4906,-20.95,2.59,36.84,97.9,0.08,0.149,0.973,0.0126,W
0.36,0.0776,25.0,-0.98,18.53,98.0,0.08,0.15,0.984,0.0011,W
0.37,-0.1751,28.66,-2.27,-11.25,98.3,0.078,0.151,0.976,0.0092,W
0.38,-0.2793,9.69,-4.96,-25.71,98.0,0.081,0.152,0.979,0.0065,W
0.39,-0.1973,1.15,-6.32,-17.89,98.0,0.08,0.147,0.98,0.006,W
0.4,-0.1088,-0.02,-0.53,-13.71,98.0,0.08,0.154,0.979,0.0056,W
0.41,0.0015,-2.75,1.76,-6.15,97.8,0.081,0.152,0.977,0.0077,W
0.42,0.0597,-13.21,-5.49,0.73,98.1,0.077,0.15,0.977,0.0086,W
0.43,0.051,4.86,1.37,1.31,98.1,0.077,0.145,0.98,0.0062,W
0.44,0.067,14.05,-2.2,18.95,97.9,0.083,0.15,0.981,0.0041,W
0.45,0.0423,-10.32,0.57,33.1,98.0,0.078,0.146,0.979,0.0075,W
0.46,0.0824,-17.04,-8.44,25.29,98.2,0.076,0.147,0.983,0.0027,W
0.47,0.0964,-6.94,-0.91,7.93,98.0,0.078,0.152,0.977,0.0083,W
0.48,0.1104,4.99,5.07,-18.31,98.1,0.081,0.153,0.979,0.0063,W
0.49,0.1336,10.16,-3.8,-32.57,97.9,0.083,0.148,0.98,0.0053,W
